CEP|Tipo_Logradouro|Logradouro|Complemento|Local|Bairro|Cidade|cod_cidade|UF|Estado|cod_estado|Latitude|Longitude
24754090|Rua|Lázaro Moncef|||Maria Paula|São Gonçalo|3304904|RJ|Rio de Janeiro|33|-22.8782558|-43.0250730
24800129|Rua|Prefeito João Augusto de Andrade|||Centro|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7570025|-42.8643167
24800383|Travessa|José Luna de Alencar|||Sossego|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7570025|-42.8643167
24804373|Rua|Quatro|(Lot N Quissamã)||Quissamã|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.6889602|-42.8185210
24805729|Rua|Doze|(Lot P I V Pedras)||Itaville|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7672000|-42.9150302
24808336|Rua|João Dias Filho|||Ampliação|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7562526|-42.8586651
24810176|Rua|Três|(Lot Ch S Lázaro)||Sapê|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7551592|-42.9198966
24812396|Rua|Doutor Celso Galvão|||Santo Expedito|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7570025|-42.8643167
24858048|Rua|Dez|||Aldeia da Prata (Manilha)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7704543|-42.9386901
24858600|Rua|Elias Duarte da Silva|||Apolo II (Manilha)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7570025|-42.8643167
24859380|Rua|Planaltina|||Marambaia (Manilha)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7914748|-42.9403797
24859572|Rua|Vinte e Um|||Marambaia (Manilha)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7591526|-42.9185111
24859676|Rua|Seis|(Lot Vl Luar)||Marambaia (Manilha)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7741672|-42.9315581
24860120|Rua|Onze|||Novo Horizonte (Manilha)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7316685|-42.8175095
24860460|Rua|Maria Kortkampo Mendel|||Granjas Cabuçu (Manilha)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7876162|-42.9155586
24866000|Rua|Setenta e Oito|||Grande Rio (Itambi)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7341420|-42.9251917
24868036|Rua|Arnaldo Pinheiro|||Centro (Itambi)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7570025|-42.8643167
24868044|Rua|IX|||Centro (Itambi)|Itaboraí|3301900|RJ|Rio de Janeiro|33|-22.7535825|-42.8779328
24900209|Rua|Seis|(Cond Res M Residence I)||Centro|Maricá|3302700|RJ|Rio de Janeiro|33|-22.9185084|-42.9378583
24900490|Rua|República dos Italianos|||Centro|Maricá|3302700|RJ|Rio de Janeiro|33|-22.9339527|-42.8245961
24906010|Estrada|da Chuva|||Silvado|Maricá|3302700|RJ|Rio de Janeiro|33|-22.9339527|-42.8245961
24910060|Rua|Italva|||Caxito|Maricá|3302700|RJ|Rio de Janeiro|33|-22.9339527|-42.8245961
24911320|Rua|Recanto dos Pássaros|||Camburi|Maricá|3302700|RJ|Rio de Janeiro|33|-22.9339527|-42.8245961
24917090|Rua|Oitenta e Oito|||Jardim Interlagos (Ponta Negra)|Maricá|3302700|RJ|Rio de Janeiro|33|-22.9430922|-42.8281988
24917515|Rua|Quarenta e Quatro|||Jardim Interlagos (Ponta Negra)|Maricá|3302700|RJ|Rio de Janeiro|33|-22.9449753|-42.9613504
