Cep Inicial|Cep Final|Bairro|Cidade|Estado
09791255|09791255|Montanhão|São Bernardo do Campo|SP
09820270|09820270|Demarchi|São Bernardo do Campo|SP
09830220|09832080|Rio Grande|São Bernardo do Campo|SP
09840450|09840450|Dos Casa|São Bernardo do Campo|SP
09843230|09843230|Batistini|São Bernardo do Campo|SP
09890320|09890320|Planalto|São Bernardo do Campo|SP
09891570|09891570|Jordanópolis|São Bernardo do Campo|SP
09896240|09896280|Planalto|São Bernardo do Campo|SP
09910030|09910030|Centro|Diadema|SP
09932150|09941050|Taboão|Diadema|SP
09952395|09952395|Vila Nogueira|Diadema|SP
09960503|09962630|Casa Grande|Diadema|SP
09971370|09971370|Eldorado|Diadema|SP
09972425|09972425|Inamar|Diadema|SP
09980243|09980791|Serraria|Diadema|SP
09981110|09981110|Inamar|Diadema|SP
09990104|09990104|Serraria|Diadema|SP
11010120|11010120|Centro|Santos|SP
11013230|11013230|Vila Nova|Santos|SP
11013570|11013570|Jabaquara|Santos|SP
11015501|11015501|Centro|Santos|SP
11025020|11025020|Boqueirão|Santos|SP
11030170|11030170|Ponta da Praia|Santos|SP
